url	company	normalized_title	location	date_first_seen	score	grade	status	last_attempt_at	attempt_count
	Pocket (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Beacon Health (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Oro Labs (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Vypr (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Daffodil Health (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Northwood Space (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Emergent (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Ethernovia (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Ricursive Intelligence (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Upscale AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Olix (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Neurophos (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Positron AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Starfish Space (2026-04-14)			2026-04-21			seen	2026-04-21	1
	ElevenLabs (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Luma AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Hippocratic AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Chai Discovery (2026-04-14)			2026-04-21			seen	2026-04-21	1
https://www.adzuna.com/details/5706863765?utm_medium=api&utm_source=ccc92f2c	Success Matcher Recruitment	ai product manager	Seattle, King County	2026-04-23	4.42	A	applied	2026-04-23	1
https://ats.rippling.com/cprs/jobs/7594c9dc-eeae-467e-851f-12db6e39f1da	CPRS	ai product manager	Bellevue, King County	2026-04-23	4.26	A	applied	2026-04-23	1
https://www.adzuna.com/land/ad/5690416171	CBRE	sr property manager	International, King County	2026-04-23	4.11	A	skipped	2026-04-23	1
https://www.digitalocean.com/careers/position/apply?gh_jid=7630105	DigitalOcean	senior product manager	Seattle, King County	2026-04-23	4.05	A	applied	2026-04-23	1
https://www.qualtrics.com/careers/us/en/job/7531649?gh_jid=7531649	Qualtrics	principal product operations lead pdlc	Seattle, King County	2026-04-23	4.05	A	applied	2026-04-23	1
https://www.nexhealth.com/careers/open-positions?gh_jid=5807748004	NexHealth	product manager	Seattle, King County	2026-04-23	4.0	A	applied	2026-04-23	1
